Unique Users,User Type,Cycles
sel9404,Student,2
cc6731,Student,1
jf4313,Student,2
ht2293,Student,10
jh7956,Student,2
mx2217,Staff,9
ff2110,Student,3
hz2287,Student,5
yl7002,Student,1
ccw9390,Student,1
anw248,Faculty,14
zq3,Staff,2
cl4165,Staff,3
ss17116,IT,5
ps4307,Student,5
al5448,Student,1
zn424,Student,10
yc5509,Student,2
jh7964,Student,6
ag8245,Student,1
yg41,Staff,2
qt2059,Student,3
bz1185,Student,1
sd4835,Student,1
bt1338,Staff,2
aa10127,Student,5
tn2137,Faculty,19
jac32,Faculty,21
vps4033,Student,2
yp2489,IT,30
hc3297,Staff,32
mrj8522,Student,1
ll5008,Student,1
yl10960,Staff,9
yz9639,Faculty,5
lz1906,Student,4
cg4123,Student,5
zs2439,Faculty,15
yd2400,Student,1
asc544,Faculty,1
xq622,Faculty,2
lg3490,Student,2
jy3634,Student,3
sl7766,Student,3
jz5755,Student,5
ny2116,Staff,3
ch3926,Student,1
yz8001,Student,1
zz3848,Student,1
sl9094,Student,5
kw3052,Student,6
ic1120,Student,2
rk4385,Student,3
jn2579,Student,2
rkg2054,Student,2
mi2230,Student,3
ec4493,Student,1
jm9901,Student,8
cl6380,Student,2
al6200,Student,2
tid2005,Student,8
xq368,Faculty,2
ky2390,Student,3
jls9966,Student,2
zd2244,Student,1
aa9217,Student,2
jc11815,Student,3
bc1768,Staff,11
yy4500,Student,4
mc9489,Faculty,2
al6399,Student,1
bw2455,Staff,6
as14902,Faculty,1
ssg9769,Student,5
jl13144,Student,5
jf4043,Student,1
yl9315,Student,1
yl9290,Student,16
js12575,Student,1
xl4577,Student,2
wr646,Student,1
yh4652,Student,5
xl3138,Student,4
zt2176,Student,1
tl3315,Student,3
rx523,Student,3
st115,Faculty,5
by2243,Student,2
dw3002,Student,2
xl3136,Student,4
ymh9073,Faculty,4
jz4060,Student,2
dp102,Faculty,5
ae2504,Student,18
nb3480,Student,42
jd4290,Student,2
mm9526,Staff,1
mz1737,Staff,1
xl4178,Student,5
yl70,Faculty,2
yc58,Staff,8
jt4398,Student,3
ub2041,Student,4
lb3955,Student,3
yz8622,Staff,8
dm5350,Student,4
eh2971,Student,1
ep2856,Student,8
rb5202,Student,7
yj2440,Student,3
ts4343,Student,2
ksw9579,Student,1
eyx206,Student,5
ql15,Faculty,8
jl12619,Student,5
jk8093,IT,4
ww1559,Staff,6
xh11,Faculty,1
jt2689,Staff,1
up2032,Student,5
yw6907,Student,1
sl3635,Faculty,2
ij498,Student,4
yw4857,Staff,5
hk1011,Faculty,2
cw2461,Staff,7
yc6102,Student,1
sk10416,Student,9
mk8894,IT,2
aaf9352,Student,3
xw2399,Student,10
iil2,Faculty,2
ss15404,Student,5
ys3982,Student,3
xw22,Staff,2
kq2017,Student,1
kt1992,Faculty,1
qz2266,Staff,9
jw8163,Others,1
jz4061,Student,3
jl12346,Student,2
sx2273,Student,3
lmm8682,Student,4
rc3477,Student,4
ew2439,Student,3
sw4155,Student,2
xc2621,Student,1
gk2297,Student,8
sp7078,Student,1
jx2437,IT,1
hl2885,Student,1
lm4652,Student,4
qy646,Student,1
zm1018,Student,2
wz1551,Student,1
zh2424,Student,2
sd5143,Student,11
qy894,Student,1
bg497,Faculty,1
yc4144,Student,9
zw1746,Student,1
yh4041,Faculty,1
yz8606,Faculty,5
rl4789,Student,2
mak25,Staff,1
yz6197,Student,2
xt235,Faculty,2
yc4036,Student,1
yj12,Staff,2
lm4651,Student,1
sl9311,Student,1
jl14064,Student,7
dar9935,Student,1
yd450,Staff,2
wyc344,Student,1
yw6949,Student,1
kqp9737,Student,3
hw2677,Student,2
gcc9334,Faculty,2
ys1792,Staff,2
xx992,Student,1
jx2567,Faculty,1
ozc204,Student,2
dag522,Faculty,2
yz9645,Staff,7
ay2379,Student,1
zz4355,Student,5
tj49,Staff,2
lj44,Staff,3
zam8988,Student,1
myr1,Faculty,4
yl10541,Student,2
hx770,Student,3
mh169,Staff,1
svj2008,Student,2
msr9740,Student,3
fy6,Staff,1
xh2117,Student,3
yk2602,Student,1
cpt7990,Student,1
smt9598,Student,1
cab982,Student,7
ys78,Staff,1
gb2683,Student,1
qz2376,Staff,4
gl2587,Student,1
ee2225,Student,1
raa9845,Student,1
crj7458,IT,2
rq2039,Student,2
mz85,Faculty,4
rw3040,Student,9
yf2148,Student,1
lz2696,Student,1
yz8322,Student,5
lm4833,Student,1
pc3138,Student,7
hp1397,Student,2
qw940,Student,2
ld2789,Staff,2
cl4697,Student,1
wz2533,Staff,5
zs2672,Faculty,2
bc3371,Student,22
rk3969,IT,4
yy4127,Student,1
zw3639,Student,1
fjc9392,Student,1
mj2734,Student,4
yz6176,Others,2
psw3694,Student,10
dz1460,Student,1
zx1366,Student,4
xw2860,Student,5
zz4330,Student,1
xl3673,Student,1
yy4104,Student,1
yw4998,Staff,1
ra3563,Student,1
yy4238,Faculty,3
yd2618,Student,3
eco8684,Student,2
zh2422,Student,2
wd2148,Student,1
yl8872,Student,3
yw4549,Student,1
fq2039,Student,1
yl10397,Student,1
yz8289,Student,6
bh2643,IT,4
mw4361,Student,1
zw3632,Student,1
xl2860,Student,1
yj2443,Student,2
yl4208,Staff,1
zy2720,Student,1
lx2154,Student,2
jsq2003,Student,1
vcd9581,Student,3
rz2588,Student,1
lx3,Staff,6
wc54,Faculty,2
jl10902,Student,1
lz2698,Student,1
djh9970,Student,1
sj3802,Student,2
iw2119,Student,4
mh6570,Student,2
ll102,Staff,1
jm10192,Staff,3
yk2858,Student,3
ph2282,Student,3
ms13711,Staff,1
lc5198,Others,1
rw3232,Student,3
yl8397,Student,3
cw3899,Student,3
yt28,Staff,2
yc5697,Staff,4
yl6999,Student,1
dx2102,Student,1
jg7569,IT,3
mx2122,Student,4
jt2282,Staff,1
yz1749,Staff,1
js12556,Student,1
cd3371,Student,1
yy4107,Student,1
afq2004,Student,2
jsk16,Faculty,2
wz746,IT,5
ml7183,Staff,2
yd2717,Staff,2
mr6178,Student,1
jk7841,Student,1
mh6793,Student,1
jq756,Student,1
fw2090,Staff,1
ff2171,Student,1
jl14087,Student,1
afs9024,Student,1
wrf5491,Student,2
rg4012,Student,1
xf732,Student,2
yb943,IT,8
ll4755,Student,5
sg7042,Student,1
hc76,Faculty,6
yz9323,Student,2
ksy8679,Student,2
jb4204,Faculty,1
kag9625,Faculty,3
jt4153,Student,2
pt2234,Student,1
cz24,Staff,1
an3573,Student,1
jy4195,Student,1
yc18,Faculty,3
wt2148,Student,1
abb10022,Student,6
ll4748,IT,1
jx13,Staff,2
cqs9996,Student,2
tw1809,Student,1
cy1503,Student,1
lz777,IT,3
ff2206,Student,6
xg2283,Student,1
xy2464,Student,3
cz1627,Student,1
aey2009,Faculty,1
mw5318,Staff,2
zl5055,Staff,2
gl81,Faculty,1
cx2118,Student,1
rl4841,Student,5
cy2199,Student,2
lcd7709,Student,1
emc9895,Student,1
rl4800,Student,2
xs2334,Student,4
sjw10033,Student,1
